Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","19628.7","A","Official figure",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5412","Yield","01510","Potatoes","2023","2023","kg/ha","30824.7","E","Estimated value",""
"QCL","Crops and livestock products","368","Iraq","5412","Yield","01510","Potatoes","2023","2023","kg/ha","25551.5","A","Official figure",""
"QCL","Crops and livestock products","372","Ireland","5412","Yield","01510","Potatoes","2023","2023","kg/ha","39244.8","A","Official figure",""
"QCL","Crops and livestock products","376","Israel","5412","Yield","01510","Potatoes","2023","2023","kg/ha","34830.4","E","Estimated value",""
"QCL","Crops and livestock products","380","Italy","5412","Yield","01510","Potatoes","2023","2023","kg/ha","27842.7","A","Official figure",""
"QCL","Crops and livestock products","388","Jamaica","5412","Yield","01510","Potatoes","2023","2023","kg/ha","13670.1","A","Official figure",""
"QCL","Crops and livestock products","392","Japan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","31287.4","E","Estimated value",""
"QCL","Crops and livestock products","400","Jordan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","40234.5","A","Official figure",""
"QCL","Crops and livestock products","398","Kazakhstan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","21618.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01510","Potatoes","2023","2023","kg/ha","9651.8","A","Official figure",""
"QCL","Crops and livestock products","414","Kuwait","5412","Yield","01510","Potatoes","2023","2023","kg/ha","37646.5","E","Estimated value",""
"QCL","Crops and livestock products","417","Kyrgyzstan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","17753.5","A","Official figure",""
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5412","Yield","01510","Potatoes","2023","2023","kg/ha","31861.2","E","Estimated value",""
"QCL","Crops and livestock products","428","Latvia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","18437.5","A","Official figure",""
"QCL","Crops and livestock products","422","Lebanon","5412","Yield","01510","Potatoes","2023","2023","kg/ha","28231","E","Estimated value",""
"QCL","Crops and livestock products","426","Lesotho","5412","Yield","01510","Potatoes","2023","2023","kg/ha","18065.1","E","Estimated value",""
"QCL","Crops and livestock products","434","Libya","5412","Yield","01510","Potatoes","2023","2023","kg/ha","19847","E","Estimated value",""
"QCL","Crops and livestock products","440","Lithuania","5412","Yield","01510","Potatoes","2023","2023","kg/ha","18148.7","A","Official figure",""
"QCL","Crops and livestock products","442","Luxembourg","5412","Yield","01510","Potatoes","2023","2023","kg/ha","22928.6","A","Official figure",""
"QCL","Crops and livestock products","450","Madagascar","5412","Yield","01510","Potatoes","2023","2023","kg/ha","6027.5","E","Estimated value",""
"QCL","Crops and livestock products","454","Malawi","5412","Yield","01510","Potatoes","2023","2023","kg/ha","18826.2","E","Estimated value",""
"QCL","Crops and livestock products","466","Mali","5412","Yield","01510","Potatoes","2023","2023","kg/ha","22795.6","A","Official figure",""
"QCL","Crops and livestock products","470","Malta","5412","Yield","01510","Potatoes","2023","2023","kg/ha","13095.2","A","Official figure",""
"QCL","Crops and livestock products","478","Mauritania","5412","Yield","01510","Potatoes","2023","2023","kg/ha","6367.3","E","Estimated value",""
"QCL","Crops and livestock products","480","Mauritius","5412","Yield","01510","Potatoes","2023","2023","kg/ha","18316.4","A","Official figure",""
"QCL","Crops and livestock products","484","Mexico","5412","Yield","01510","Potatoes","2023","2023","kg/ha","31971.5","A","Official figure",""
"QCL","Crops and livestock products","496","Mongolia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","9234","A","Official figure",""
"QCL","Crops and livestock products","499","Montenegro","5412","Yield","01510","Potatoes","2023","2023","kg/ha","16390.1","E","Estimated value",""
"QCL","Crops and livestock products","504","Morocco","5412","Yield","01510","Potatoes","2023","2023","kg/ha","31117","A","Official figure",""
"QCL","Crops and livestock products","508","Mozambique","5412","Yield","01510","Potatoes","2023","2023","kg/ha","19366.6","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5412","Yield","01510","Potatoes","2023","2023","kg/ha","15401.8","E","Estimated value",""
"QCL","Crops and livestock products","516","Namibia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","12068.2","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","01510","Potatoes","2023","2023","kg/ha","17112.9","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01510","Potatoes","2023","2023","kg/ha","41791.5","A","Official figure",""
